

eduroam,18023317622910116,-68
BU Wireless Help,18023317622910114,-71
BU Guest (unencrypted),18023317622910113,-70
BU (requires VPN),18023317622910115,-69
Group9,03341138252243,-59
BU (802.1x),18023317622910112,-69
group4,19286395854156,-62
mcl_test,32170758512731,-69
BU (802.1x),18023317622911208,-71
eduroam,18023317622911212,-71
BU Guest (unencrypted),18023317622911209,-72
BU (requires VPN),18023317622911211,-72
NGA,6814825213871230,-82
BU Wireless Help,18023317622911210,-71
laboratory,128421682616910,-81
BU Wireless Help,240414114610782,-52
BU Guest (unencrypted),240414114610781,-51
BU (requires VPN),240414114610783,-52
BU (802.1x),240414114610780,-52
eduroam,240414114610784,-51



Group9,03341138252243,-58
BU (requires VPN),18023317622910115,-69
BU (802.1x),18023317622910112,-70
eduroam,18023317622910116,-69
BU Wireless Help,18023317622910114,-70
group4,19286395854156,-64
mcl_test,32170758512731,-69
BU (802.1x),18023317622911208,-72
eduroam,18023317622911212,-72
BU Wireless Help,18023317622911210,-71
BU Guest (unencrypted),18023317622911209,-72
BU (requires VPN),18023317622911211,-72
NGA,6814825213871230,-84
laboratory,128421682616910,-82
BU (requires VPN),240414114610783,-51
BU (802.1x),240414114610780,-51
eduroam,240414114610784,-53
BU Wireless Help,240414114610782,-52
BU Guest (unencrypted),240414114610781,-52

Group9,03341138252243,-58
BU (requires VPN),18023317622910115,-69
BU (802.1x),18023317622910112,-70
eduroam,18023317622910116,-69
BU Wireless Help,18023317622910114,-70
group4,19286395854156,-64
mcl_test,32170758512731,-69
BU (802.1x),18023317622911208,-72
eduroam,18023317622911212,-72
BU Wireless Help,18023317622911210,-71
BU Guest (unencrypted),18023317622911209,-72
BU (requires VPN),18023317622911211,-72
NGA,6814825213871230,-84
laboratory,128421682616910,-82
BU (requires VPN),240414114610783,-51
BU (802.1x),240414114610780,-51
eduroam,240414114610784,-53
BU Wireless Help,240414114610782,-52
BU Guest (unencrypted),240414114610781,-52



Group9,03341138252243,-59
eduroam,18023317622910116,-70
BU Wireless Help,18023317622910114,-69
BU Guest (unencrypted),18023317622910113,-69
BU (requires VPN),18023317622910115,-70
BU (802.1x),18023317622910112,-69
mcl_test,32170758512731,-70
group4,19286395854156,-65
NGA,6814825213871230,-82
BU (requires VPN),18023317622911211,-73
BU (802.1x),18023317622911208,-72
eduroam,18023317622911212,-73
BU Wireless Help,18023317622911210,-72
BU Guest (unencrypted),18023317622911209,-72
BU (802.1x),240414114610780,-53
laboratory,128421682616910,-76
eduroam,240414114610784,-52
BU Wireless Help,240414114610782,-53
BU Guest (unencrypted),240414114610781,-52
BU (requires VPN),240414114610783,-52



BU Guest (unencrypted),18023317622910113,-69
BU (requires VPN),18023317622910115,-69
Group9,03341138252243,-57
eduroam,18023317622910116,-70
BU Wireless Help,18023317622910114,-69
group4,19286395854156,-67
mcl_test,32170758512731,-69
eduroam,18023317622911212,-73
BU (802.1x),18023317622911208,-72
BU Wireless Help,18023317622911210,-72
BU (requires VPN),18023317622911211,-72
BU Guest (unencrypted),18023317622911209,-72
NGA,6814825213871230,-84
laboratory,128421682616910,-82
BU Guest (unencrypted),240414114610781,-52
BU (requires VPN),240414114610783,-54
