Group9,03341138252243,-60
group4,19286395854156,-57
mcl_test,32170758512731,-70
BU (802.1x),18023317622911208,-75
eduroam,18023317622911212,-74
BU Wireless Help,18023317622911210,-74
BU (requires VPN),18023317622911211,-73
laboratory,128421682616910,-89
eduroam,240414114610784,-58
BU Wireless Help,240414114610782,-58
BU Guest (unencrypted),240414114610781,-57
BU (requires VPN),240414114610783,-58
BU (802.1x),240414114610780,-57



Group9,03341138252243,-58
eduroam,18023317622910116,-85
BU Wireless Help,18023317622910114,-84
mcl_test,32170758512731,-70
group4,19286395854156,-57
BU (802.1x),18023317622911208,-74
BU Wireless Help,18023317622911210,-74
BU Guest (unencrypted),18023317622911209,-74
BU (requires VPN),18023317622911211,-74
BU (802.1x),240414114610780,-58
eduroam,240414114610784,-58
BU Wireless Help,240414114610782,-58
BU Guest (unencrypted),240414114610781,-58
BU (requires VPN),240414114610783,-58
laboratory,128421682616910,-88

Group9,03341138252243,-58
eduroam,18023317622910116,-85
BU Wireless Help,18023317622910114,-84
mcl_test,32170758512731,-70
group4,19286395854156,-57
BU (802.1x),18023317622911208,-74
BU Wireless Help,18023317622911210,-74
BU Guest (unencrypted),18023317622911209,-74
BU (requires VPN),18023317622911211,-74
BU (802.1x),240414114610780,-58
eduroam,240414114610784,-58
BU Wireless Help,240414114610782,-58
BU Guest (unencrypted),240414114610781,-58
BU (requires VPN),240414114610783,-58
laboratory,128421682616910,-88


Group9,03341138252243,-58
group4,19286395854156,-51
mcl_test,32170758512731,-70
BU (802.1x),18023317622911208,-75
eduroam,18023317622911212,-74
laboratory,128421682616910,-88
BU (802.1x),240414114610780,-58

Group9,03341138252243,-58
group4,19286395854156,-51
mcl_test,32170758512731,-70
BU (802.1x),18023317622911208,-75
eduroam,18023317622911212,-74
laboratory,128421682616910,-88
BU (802.1x),240414114610780,-58



eduroam,18023317622910116,-83
BU Guest (unencrypted),18023317622910113,-84
Group9,03341138252243,-54
group4,19286395854156,-49
mcl_test,32170758512731,-70
BU (802.1x),18023317622911208,-74
BU Wireless Help,18023317622911210,-75
BU Guest (unencrypted),18023317622911209,-75
BU (requires VPN),18023317622911211,-74
BU Wireless Help,240414114610782,-58
BU Guest (unencrypted),240414114610781,-57
laboratory,128421682616910,-87
BU (requires VPN),240414114610783,-58
BU (802.1x),240414114610780,-58



Group9,03341138252243,-58
BU Guest (unencrypted),18023317622910113,-84
BU (requires VPN),18023317622910115,-85
BU (802.1x),18023317622910112,-84
eduroam,18023317622910116,-84
BU Wireless Help,18023317622910114,-83
group4,19286395854156,-49
mcl_test,32170758512731,-71
BU (802.1x),18023317622911208,-74
BU Wireless Help,240414114610782,-58
BU Guest (unencrypted),240414114610781,-58
BU (requires VPN),240414114610783,-57
BU (802.1x),240414114610780,-58
eduroam,240414114610784,-58



Group9,03341138252243,-59
BU (requires VPN),18023317622910115,-85
BU (802.1x),18023317622910112,-84
eduroam,18023317622910116,-83
group4,19286395854156,-57
mcl_test,32170758512731,-70
BU (802.1x),18023317622911208,-75
BU (802.1x),240414114610780,-58
laboratory,128421682616910,-87
eduroam,240414114610784,-58
BU Wireless Help,240414114610782,-58
BU Guest (unencrypted),240414114610781,-57
BU (requires VPN),240414114610783,-58

Group9,03341138252243,-59
BU (requires VPN),18023317622910115,-85
BU (802.1x),18023317622910112,-84
eduroam,18023317622910116,-83
group4,19286395854156,-57
mcl_test,32170758512731,-70
BU (802.1x),18023317622911208,-75
BU (802.1x),240414114610780,-58
laboratory,128421682616910,-87
eduroam,240414114610784,-58
BU Wireless Help,240414114610782,-58
BU Guest (unencrypted),240414114610781,-57
BU (requires VPN),240414114610783,-58



Group9,03341138252243,-59
BU Guest (unencrypted),18023317622910113,-83
BU (802.1x),18023317622910112,-85
eduroam,18023317622910116,-84
group4,19286395854156,-57
mcl_test,32170758512731,-70
eduroam,18023317622911212,-75
BU Wireless Help,18023317622911210,-75



Group9,03341138252243,-58
