Group9,03341138252243,-48
group4,19286395854156,-55
mcl_test,32170758512731,-78
BU (802.1x),18023317622911208,-65
eduroam,18023317622911212,-64
BU Wireless Help,18023317622911210,-66
BU Guest (unencrypted),18023317622911209,-65
BU (requires VPN),18023317622911211,-65
laboratory,128421682616910,-78


Group9,03341138252243,-48
group4,19286395854156,-55
mcl_test,32170758512731,-79
BU (802.1x),18023317622911208,-65
eduroam,18023317622911212,-66
BU Guest (unencrypted),18023317622911209,-66
BU Wireless Help,240414114610782,-68
BU Guest (unencrypted),240414114610781,-69
laboratory,128421682616910,-80
BU (requires VPN),240414114610783,-68
BU (802.1x),240414114610780,-68
eduroam,240414114610784,-67

Group9,03341138252243,-48
group4,19286395854156,-55
mcl_test,32170758512731,-79
BU (802.1x),18023317622911208,-65
eduroam,18023317622911212,-66
BU Guest (unencrypted),18023317622911209,-66
BU Wireless Help,240414114610782,-68
BU Guest (unencrypted),240414114610781,-69
laboratory,128421682616910,-80
BU (requires VPN),240414114610783,-68
BU (802.1x),240414114610780,-68
eduroam,240414114610784,-67



Group9,03341138252243,-47
group4,19286395854156,-56
mcl_test,32170758512731,-78
NGA,6814825213871230,-84
eduroam,18023317622911212,-64
BU (802.1x),18023317622911208,-64
BU Wireless Help,18023317622911210,-64
BU Guest (unencrypted),18023317622911209,-64
BU (requires VPN),18023317622911211,-65
laboratory,128421682616910,-81
BU (802.1x),240414114610780,-68
eduroam,240414114610784,-69
BU Wireless Help,240414114610782,-68
BU Guest (unencrypted),240414114610781,-68



Group9,03341138252243,-49
group4,19286395854156,-56
mcl_test,32170758512731,-79
BU (802.1x),18023317622911208,-66
eduroam,18023317622911212,-66
BU Wireless Help,18023317622911210,-66
BU Guest (unencrypted),18023317622911209,-66
BU (requires VPN),18023317622911211,-66
NGA,6814825213871230,-85
laboratory,128421682616910,-79
BU (requires VPN),240414114610783,-71
BU (802.1x),240414114610780,-70
eduroam,240414114610784,-71
BU Wireless Help,240414114610782,-71
BU Guest (unencrypted),240414114610781,-71

Group9,03341138252243,-49
group4,19286395854156,-56
mcl_test,32170758512731,-79
BU (802.1x),18023317622911208,-66
eduroam,18023317622911212,-66
BU Wireless Help,18023317622911210,-66
BU Guest (unencrypted),18023317622911209,-66
BU (requires VPN),18023317622911211,-66
NGA,6814825213871230,-85
laboratory,128421682616910,-79
BU (requires VPN),240414114610783,-71
BU (802.1x),240414114610780,-70
eduroam,240414114610784,-71
BU Wireless Help,240414114610782,-71
BU Guest (unencrypted),240414114610781,-71



Group9,03341138252243,-47
group4,19286395854156,-56
mcl_test,32170758512731,-75
BU (requires VPN),18023317622911211,-65
BU (802.1x),18023317622911208,-64
eduroam,18023317622911212,-64
BU Wireless Help,18023317622911210,-65
BU Guest (unencrypted),18023317622911209,-65
BU (802.1x),240414114610780,-69
eduroam,240414114610784,-70
BU Wireless Help,240414114610782,-69
laboratory,128421682616910,-83
BU Guest (unencrypted),240414114610781,-69
BU (requires VPN),240414114610783,-70



Group9,03341138252243,-46
group4,19286395854156,-52
BU (802.1x),18023317622911208,-66
eduroam,18023317622911212,-66
BU Wireless Help,18023317622911210,-65
BU Guest (unencrypted),18023317622911209,-66
BU (requires VPN),18023317622911211,-65
mcl_test,32170758512731,-80
BU Wireless Help,240414114610782,-69
BU Guest (unencrypted),240414114610781,-69
laboratory,128421682616910,-78
BU (requires VPN),240414114610783,-69
BU (802.1x),240414114610780,-69
eduroam,240414114610784,-70

Group9,03341138252243,-46
group4,19286395854156,-52
BU (802.1x),18023317622911208,-66
eduroam,18023317622911212,-66
BU Wireless Help,18023317622911210,-65
BU Guest (unencrypted),18023317622911209,-66
BU (requires VPN),18023317622911211,-65
mcl_test,32170758512731,-80
BU Wireless Help,240414114610782,-69
BU Guest (unencrypted),240414114610781,-69
laboratory,128421682616910,-78
BU (requires VPN),240414114610783,-69
BU (802.1x),240414114610780,-69
eduroam,240414114610784,-70


Group9,03341138252243,-46
group4,19286395854156,-54
mcl_test,32170758512731,-76
BU (802.1x),18023317622911208,-63
eduroam,18023317622911212,-63
BU Wireless Help,18023317622911210,-63
BU Guest (unencrypted),18023317622911209,-63
BU (requires VPN),18023317622911211,-63
laboratory,128421682616910,-80
BU Guest (unencrypted),240414114610781,-68
BU (requires VPN),240414114610783,-68
BU (802.1x),240414114610780,-68
eduroam,240414114610784,-68


Group9,03341138252243,-47
group4,19286395854156,-52
mcl_test,32170758512731,-76
BU Guest (unencrypted),18023317622911209,-64
BU (requires VPN),18023317622911211,-65
BU (802.1x),18023317622911208,-67
eduroam,18023317622911212,-66
NGA,6814825213871230,-87
BU Wireless Help,18023317622911210,-66
laboratory,128421682616910,-85
BU (requires VPN),240414114610783,-68
BU (802.1x),240414114610780,-68
eduroam,240414114610784,-68
BU Wireless Help,240414114610782,-69
BU Guest (unencrypted),240414114610781,-67



Group9,03341138252243,-48
group4,19286395854156,-53
mcl_test,32170758512731,-78
BU (requires VPN),18023317622911211,-64
BU (802.1x),18023317622911208,-66
eduroam,18023317622911212,-66
BU Wireless Help,18023317622911210,-65
BU Guest (unencrypted),18023317622911209,-64
BU (802.1x),240414114610780,-66
eduroam,240414114610784,-66
BU Wireless Help,240414114610782,-66
BU Guest (unencrypted),240414114610781,-67
BU (requires VPN),240414114610783,-67

Group9,03341138252243,-48
group4,19286395854156,-53
mcl_test,32170758512731,-78
BU (requires VPN),18023317622911211,-64
BU (802.1x),18023317622911208,-66
eduroam,18023317622911212,-66
BU Wireless Help,18023317622911210,-65
BU Guest (unencrypted),18023317622911209,-64
BU (802.1x),240414114610780,-66
eduroam,240414114610784,-66
BU Wireless Help,240414114610782,-66
BU Guest (unencrypted),240414114610781,-67
BU (requires VPN),240414114610783,-67


Group9,03341138252243,-46
group4,19286395854156,-54
mcl_test,32170758512731,-78
BU (802.1x),18023317622911208,-65
eduroam,18023317622911212,-69
BU Wireless Help,18023317622911210,-69
BU Guest (unencrypted),18023317622911209,-66
BU (requires VPN),18023317622911211,-66
BU (requires VPN),240414114610783,-69
BU (802.1x),240414114610780,-69
eduroam,240414114610784,-68
BU Wireless Help,240414114610782,-69
BU Guest (unencrypted),240414114610781,-69

Group9,03341138252243,-46
group4,19286395854156,-54
mcl_test,32170758512731,-78
BU (802.1x),18023317622911208,-65
eduroam,18023317622911212,-69
BU Wireless Help,18023317622911210,-69
BU Guest (unencrypted),18023317622911209,-66
BU (requires VPN),18023317622911211,-66
BU (requires VPN),240414114610783,-69
BU (802.1x),240414114610780,-69
eduroam,240414114610784,-68
BU Wireless Help,240414114610782,-69
BU Guest (unencrypted),240414114610781,-69



Group9,03341138252243,-44
group4,19286395854156,-53
mcl_test,32170758512731,-77
eduroam,18023317622911212,-70
BU Wireless Help,18023317622911210,-68
BU Guest (unencrypted),18023317622911209,-69
BU (requires VPN),18023317622911211,-70
BU (802.1x),18023317622911208,-69
laboratory,128421682616910,-79
eduroam,240414114610784,-69
BU Wireless Help,240414114610782,-69
BU Guest (unencrypted),240414114610781,-70
BU (requires VPN),240414114610783,-69
BU (802.1x),240414114610780,-69



Group9,03341138252243,-46
mcl_test,32170758512731,-81
group4,19286395854156,-51
BU (802.1x),18023317622911208,-66
eduroam,18023317622911212,-65
NGA,6814825213871230,-87
BU Wireless Help,18023317622911210,-65
BU Guest (unencrypted),18023317622911209,-65
BU (requires VPN),18023317622911211,-63
BU Wireless Help,240414114610782,-67
BU Guest (unencrypted),240414114610781,-67
BU (requires VPN),240414114610783,-67
laboratory,128421682616910,-79
BU (802.1x),240414114610780,-68
eduroam,240414114610784,-68

Group9,03341138252243,-46
mcl_test,32170758512731,-81
group4,19286395854156,-51
BU (802.1x),18023317622911208,-66
eduroam,18023317622911212,-65
NGA,6814825213871230,-87
BU Wireless Help,18023317622911210,-65
BU Guest (unencrypted),18023317622911209,-65
BU (requires VPN),18023317622911211,-63
BU Wireless Help,240414114610782,-67
BU Guest (unencrypted),240414114610781,-67
BU (requires VPN),240414114610783,-67
laboratory,128421682616910,-79
BU (802.1x),240414114610780,-68
eduroam,240414114610784,-68


Group9,03341138252243,-45
group4,19286395854156,-56
mcl_test,32170758512731,-79
BU (802.1x),18023317622911208,-63
eduroam,18023317622911212,-63
BU Wireless Help,18023317622911210,-63
BU Guest (unencrypted),18023317622911209,-63
BU (requires VPN),18023317622911211,-63
BU (requires VPN),240414114610783,-68
BU (802.1x),240414114610780,-68
eduroam,240414114610784,-68
laboratory,128421682616910,-79
BU Wireless Help,240414114610782,-68
BU Guest (unencrypted),240414114610781,-69



Group9,03341138252243,-47
,0131034420312,-89
group4,19286395854156,-55
mcl_test,32170758512731,-77
BU (802.1x),18023317622911208,-66
eduroam,18023317622911212,-65
BU Wireless Help,18023317622911210,-66
BU Guest (unencrypted),18023317622911209,-66
BU (requires VPN),18023317622911211,-65
BU (802.1x),240414114610780,-68
eduroam,240414114610784,-68
BU Wireless Help,240414114610782,-68
laboratory,128421682616910,-84
BU Guest (unencrypted),240414114610781,-68
BU (requires VPN),240414114610783,-67



,0131034420312,-87
Group9,03341138252243,-48
group4,19286395854156,-52
mcl_test,32170758512731,-80
BU Wireless Help,18023317622911210,-64
BU Guest (unencrypted),18023317622911209,-63
BU (requires VPN),18023317622911211,-64
BU (802.1x),18023317622911208,-63
eduroam,18023317622911212,-63
eduroam,240414114610784,-68
BU Wireless Help,240414114610782,-69
BU Guest (unencrypted),240414114610781,-68
laboratory,128421682616910,-85
BU (requires VPN),240414114610783,-68
BU (802.1x),240414114610780,-67

,0131034420312,-87
Group9,03341138252243,-48
group4,19286395854156,-52
mcl_test,32170758512731,-80
BU Wireless Help,18023317622911210,-64
BU Guest (unencrypted),18023317622911209,-63
BU (requires VPN),18023317622911211,-64
BU (802.1x),18023317622911208,-63
eduroam,18023317622911212,-63
eduroam,240414114610784,-68
BU Wireless Help,240414114610782,-69
BU Guest (unencrypted),240414114610781,-68
laboratory,128421682616910,-85
BU (requires VPN),240414114610783,-68
BU (802.1x),240414114610780,-67



Group9,03341138252243,-46
mcl_test,32170758512731,-80
group4,19286395854156,-53
BU (802.1x),18023317622911208,-67
eduroam,18023317622911212,-67
BU Wireless Help,18023317622911210,-66
BU Guest (unencrypted),18023317622911209,-67
BU (requires VPN),18023317622911211,-66
laboratory,128421682616910,-83



Group9,03341138252243,-43
group4,19286395854156,-55
mcl_test,32170758512731,-77
BU Guest (unencrypted),18023317622911209,-67
BU (802.1x),18023317622911208,-68
BU (802.1x),240414114610780,-68
laboratory,128421682616910,-81
eduroam,240414114610784,-68
BU Wireless Help,240414114610782,-69
BU Guest (unencrypted),240414114610781,-68
BU (requires VPN),240414114610783,-68



Group9,03341138252243,-49
group4,19286395854156,-53
mcl_test,32170758512731,-75
BU (802.1x),18023317622911208,-67
eduroam,18023317622911212,-67
BU Wireless Help,18023317622911210,-66
BU Guest (unencrypted),18023317622911209,-66
BU (requires VPN),18023317622911211,-66
BU Guest (unencrypted),240414114610781,-70
BU (requires VPN),240414114610783,-69
BU (802.1x),240414114610780,-69
eduroam,240414114610784,-69
BU Wireless Help,240414114610782,-69
laboratory,128421682616910,-81


Group9,03341138252243,-46
mcl_test,32170758512731,-79
group4,19286395854156,-54
BU (802.1x),18023317622911208,-65
eduroam,18023317622911212,-66
BU Wireless Help,18023317622911210,-66
BU Guest (unencrypted),18023317622911209,-65
BU (requires VPN),18023317622911211,-64
BU (802.1x),240414114610780,-69
eduroam,240414114610784,-69
BU Wireless Help,240414114610782,-69
BU Guest (unencrypted),240414114610781,-68

