
Group9,03341138252243,-46
BU Guest (unencrypted),24041411463733,-72
BU (802.1x),24041411463732,-72
eduroam,24041411463736,-72
BU Wireless Help,24041411463734,-72
BU (requires VPN),18023317622824719,-73
BU (802.1x),18023317622824716,-73
eduroam,18023317622824720,-74
BU Guest (unencrypted),18023317622824717,-73





Group9,03341138252243,-54
eduroam,24041411463736,-72
BU Wireless Help,24041411463734,-71
BU (requires VPN),24041411463735,-71
BU (802.1x),24041411463732,-72
BU Guest (unencrypted),18023317622824717,-74



Group9,03341138252243,-44
BU Guest (unencrypted),24041411463733,-71
BU (802.1x),24041411463732,-70
eduroam,24041411463736,-70
BU Wireless Help,24041411463734,-71
BU (requires VPN),18023317622824719,-72
BU (802.1x),18023317622824716,-72
eduroam,18023317622824720,-73
BU Wireless Help,18023317622824718,-72
BU Guest (unencrypted),18023317622824717,-73


Group9,03341138252243,-45
HP0DC9BD,238150119169113,-92
BU (802.1x),18023317622824716,-73
eduroam,18023317622824720,-73
BU Wireless Help,18023317622824718,-74
BU Guest (unencrypted),18023317622824717,-74
BU (requires VPN),18023317622824719,-73


Group9,03341138252243,-45
BU (802.1x),24041411463732,-71
BU Guest (unencrypted),24041411463733,-71
BU (requires VPN),24041411463735,-72
BU Guest (unencrypted),18023317622824717,-75
BU (requires VPN),18023317622824719,-75
BU (802.1x),18023317622824716,-76
eduroam,18023317622824720,-75
BU Wireless Help,18023317622824718,-76


Group9,03341138252243,-44
eduroam,24041411463736,-71
BU Wireless Help,24041411463734,-72
BU Guest (unencrypted),24041411463733,-72
BU (requires VPN),24041411463735,-72
BU (802.1x),24041411463732,-72
BU (requires VPN),18023317622824719,-72
BU (802.1x),18023317622824716,-72
eduroam,18023317622824720,-73
BU Guest (unencrypted),18023317622824717,-73


Group9,03341138252243,-53
BU (802.1x),24041411463732,-73
eduroam,24041411463736,-73
BU Wireless Help,24041411463734,-73
BU (requires VPN),18023317622824719,-74
BU (802.1x),18023317622824716,-74
eduroam,18023317622824720,-74
BU Wireless Help,18023317622824718,-75
BU Guest (unencrypted),18023317622824717,-73





BU Guest (unencrypted),240414114640241,-71
BU (802.1x),240414114640240,-70
eduroam,240414114640244,-71
BU Wireless Help,240414114640242,-72
Group9,03341138252243,-76
T-Mobile Broadband43,14012110311264250,-71
BU Guest (unencrypted),240414114642193,-72
mcl_test,32170758512731,-85
BU (requires VPN),240414114642195,-72
BU (802.1x),240414114642192,-72
BU Wireless Help,240414114642194,-72
BU (requires VPN),1802331762291399,-84

BU Guest (unencrypted),240414114640241,-71
BU (802.1x),240414114640240,-70
eduroam,240414114640244,-71
BU Wireless Help,240414114640242,-72
Group9,03341138252243,-76
T-Mobile Broadband43,14012110311264250,-71
BU Guest (unencrypted),240414114642193,-72
mcl_test,32170758512731,-85
BU (requires VPN),240414114642195,-72
BU (802.1x),240414114642192,-72
BU Wireless Help,240414114642194,-72
BU (requires VPN),1802331762291399,-84


BU (802.1x),240414114640240,-70
eduroam,240414114640244,-71
BU Guest (unencrypted),240414114640241,-70
Group9,03341138252243,-68
T-Mobile Broadband43,14012110311264250,-74
mcl_test,32170758512731,-88
BU (802.1x),240414114642192,-73
eduroam,240414114642196,-73
BU Guest (unencrypted),240414114642193,-73
BU (requires VPN),240414114642195,-73
wireless,01447695042,-91
eduroam,240414114631116,-80
BU (requires VPN),240414114631115,-80
BU (802.1x),240414114631112,-82

BU (802.1x),240414114640240,-70
eduroam,240414114640244,-71
BU Guest (unencrypted),240414114640241,-70
Group9,03341138252243,-68
T-Mobile Broadband43,14012110311264250,-74
mcl_test,32170758512731,-88
BU (802.1x),240414114642192,-73
eduroam,240414114642196,-73
BU Guest (unencrypted),240414114642193,-73
BU (requires VPN),240414114642195,-73
wireless,01447695042,-91
eduroam,240414114631116,-80
BU (requires VPN),240414114631115,-80
BU (802.1x),240414114631112,-82



BU (802.1x),240414114640240,-68
eduroam,240414114640244,-69
BU Wireless Help,240414114640242,-69
BU Guest (unencrypted),240414114640241,-68
BU (requires VPN),240414114640243,-69
Group9,03341138252243,-70
T-Mobile Broadband43,14012110311264250,-71
BU (802.1x),240414114642192,-73
eduroam,240414114642196,-72
BU Wireless Help,240414114642194,-72
BU Guest (unencrypted),240414114642193,-72
BU (requires VPN),240414114642195,-72
BU (requires VPN),240414114631115,-80
BU (802.1x),240414114631112,-80
eduroam,240414114631116,-81



BU (802.1x),240414114640240,-74
eduroam,240414114640244,-73
Group9,03341138252243,-69
T-Mobile Broadband43,14012110311264250,-75
BU Guest (unencrypted),240414114642193,-73
BU (requires VPN),240414114642195,-73
mcl_test,32170758512731,-88
BU (802.1x),240414114642192,-73
BU Wireless Help,240414114642194,-73
BU (requires VPN),240414114631115,-80
BU (802.1x),240414114631112,-80
eduroam,240414114631116,-81
BU Guest (unencrypted),240414114631113,-80



BU Guest (unencrypted),240414114640241,-72
Group9,03341138252243,-71
BU (requires VPN),240414114640243,-73
T-Mobile Broadband43,14012110311264250,-73
BU (802.1x),240414114642192,-71
eduroam,240414114642196,-71
BU Wireless Help,240414114642194,-72
BU Guest (unencrypted),240414114642193,-71
BU (requires VPN),240414114642195,-72
BU Wireless Help,1802331762291398,-81
BU Wireless Help,240414114631114,-79
BU Guest (unencrypted),1802331762291397,-82
BU (requires VPN),240414114631115,-80
BU (802.1x),1802331762291396,-81

Group9,03341138252243,-81
BU (802.1x),240414114640240,-77
eduroam,240414114640244,-78
BU Guest (unencrypted),240414114640241,-76
BU (requires VPN),240414114640243,-78
T-Mobile Broadband43,14012110311264250,-71
mcl_test,32170758512731,-85
BU (802.1x),240414114642192,-70
eduroam,240414114642196,-69
BU Wireless Help,240414114642194,-71
BU Guest (unencrypted),240414114642193,-71
BU (requires VPN),240414114642195,-70
BU Guest (unencrypted),1802331762291397,-77
BU (requires VPN),1802331762291399,-77
BU (802.1x),1802331762291396,-77
eduroam,18023317622913100,-77
BU Wireless Help,1802331762291398,-77



BU (802.1x),240414114640240,-76
eduroam,240414114640244,-76
BU (requires VPN),240414114640243,-77
Group9,03341138252243,-74
T-Mobile Broadband43,14012110311264250,-73
BU Wireless Help,240414114642194,-69
BU Guest (unencrypted),240414114642193,-69
mcl_test,32170758512731,-89
BU (requires VPN),240414114642195,-70
BU (802.1x),240414114642192,-70
eduroam,240414114642196,-70
BU (requires VPN),1802331762291399,-79
BU (802.1x),1802331762291396,-78
BU (802.1x),240414114631112,-83
eduroam,18023317622913100,-78
BU Wireless Help,1802331762291398,-78
BU Guest (unencrypted),1802331762291397,-79



BU Guest (unencrypted),240414114640241,-77
eduroam,240414114640244,-76
BU Wireless Help,240414114640242,-75
Group9,03341138252243,-73
T-Mobile Broadband43,14012110311264250,-72
BU Guest (unencrypted),240414114642193,-71
BU (802.1x),240414114642192,-70
eduroam,240414114642196,-69
mcl_test,32170758512731,-85
BU Wireless Help,240414114642194,-69
BU (802.1x),1802331762291396,-77
eduroam,18023317622913100,-76
BU Wireless Help,1802331762291398,-77
BU Guest (unencrypted),1802331762291397,-77



Group9,03341138252243,-78
BU (802.1x),240414114640240,-76
BU Wireless Help,240414114640242,-77
BU Guest (unencrypted),240414114640241,-77
BU (requires VPN),240414114640243,-78
T-Mobile Broadband43,14012110311264250,-79
BU (802.1x),240414114642192,-72
eduroam,240414114642196,-72
BU Wireless Help,240414114642194,-71
mcl_test,32170758512731,-87
BU Guest (unencrypted),240414114642193,-71
BU (requires VPN),240414114642195,-71
BU (802.1x),1802331762291396,-76
eduroam,18023317622913100,-77
BU Wireless Help,240414114631114,-85


Group9,03341138252243,-77
BU Guest (unencrypted),240414114640241,-78
BU (requires VPN),240414114640243,-78
BU (802.1x),240414114640240,-78
eduroam,240414114640244,-77
T-Mobile Broadband43,14012110311264250,-75
BU Guest (unencrypted),240414114642193,-70
mcl_test,32170758512731,-91
BU (requires VPN),240414114642195,-70
eduroam,240414114642196,-70
wireless,01447695042,-91
BU Wireless Help,240414114642194,-70
BU (802.1x),1802331762291396,-76
eduroam,18023317622913100,-76
BU Wireless Help,1802331762291398,-76
BU Guest (unencrypted),1802331762291397,-76
BU (requires VPN),1802331762291399,-76



BU (requires VPN),240414114640243,-77
BU Wireless Help,240414114640242,-76
Group9,03341138252243,-76
T-Mobile Broadband43,14012110311264250,-76
BU (802.1x),240414114642192,-70
eduroam,240414114642196,-70
BU Wireless Help,240414114642194,-69
BU Guest (unencrypted),240414114642193,-69
BU (requires VPN),240414114642195,-70
wireless,01447695042,-91
BU Wireless Help,240414114631114,-84
BU (802.1x),1802331762291396,-75
BU Wireless Help,1802331762291398,-75




BU (requires VPN),240414114640243,-75
BU (802.1x),240414114640240,-73
BU Wireless Help,240414114640242,-75
Group9,03341138252243,-80
T-Mobile Broadband43,14012110311264250,-73
BU (requires VPN),240414114642195,-66
BU (802.1x),240414114642192,-66
eduroam,240414114642196,-66
BU Wireless Help,240414114642194,-65
mcl_test,32170758512731,-89
BU Guest (unencrypted),240414114642193,-66
BU Wireless Help,1802331762291398,-78
BU Guest (unencrypted),1802331762291397,-79
BU (requires VPN),1802331762291399,-78
BU (802.1x),1802331762291396,-79
eduroam,18023317622913100,-77



BU (802.1x),240414114640240,-76
eduroam,240414114640244,-76
BU Wireless Help,240414114640242,-76
Group9,03341138252243,-78
T-Mobile Broadband43,14012110311264250,-75
BU (802.1x),240414114642192,-64
eduroam,240414114642196,-63
BU Wireless Help,240414114642194,-65
BU Guest (unencrypted),240414114642193,-64
mcl_test,32170758512731,-87
BU (requires VPN),240414114642195,-65
BU (requires VPN),1802331762291399,-81
BU (802.1x),1802331762291396,-80
eduroam,18023317622913100,-80
BU Wireless Help,1802331762291398,-78



Group9,03341138252243,-80
eduroam,240414114640244,-76
BU Wireless Help,240414114640242,-75
BU Guest (unencrypted),240414114640241,-77
BU (requires VPN),240414114640243,-75
BU (802.1x),240414114640240,-76
T-Mobile Broadband43,14012110311264250,-73
BU Wireless Help,240414114642194,-67
BU Guest (unencrypted),240414114642193,-68
BU (requires VPN),240414114642195,-69
mcl_test,32170758512731,-87
BU (802.1x),240414114642192,-68
eduroam,240414114642196,-68
BU (requires VPN),1802331762291399,-78
eduroam,18023317622913100,-77
BU Wireless Help,1802331762291398,-77
BU Guest (unencrypted),1802331762291397,-78

Group9,03341138252243,-80
eduroam,240414114640244,-76
