Group9,03341138252243,-66
mcl_test,32170758512731,-84
Group1,7224817936165213,-64
wireless,01447695042,-79
Group 3,192863976243171,-84
BU (requires VPN),18023317622911211,-64
BU (802.1x),18023317622911208,-64
eduroam,18023317622911212,-64
BU Wireless Help,18023317622911210,-63
BU Guest (unencrypted),18023317622911209,-64
BU Guest (unencrypted),240414114610781,-65
BU (requires VPN),240414114610783,-65
BU (802.1x),240414114610780,-64
eduroam,240414114610784,-63
BU Wireless Help,240414114610782,-63



Group9,03341138252243,-55
Group1,7224817936165213,-68
wireless,01447695042,-78
mcl_test,32170758512731,-77
Group 3,192863976243171,-87
BU (802.1x),18023317622911208,-63
eduroam,18023317622911212,-63
BU Guest (unencrypted),18023317622911209,-64
BU (requires VPN),18023317622911211,-63
BU (requires VPN),240414114610783,-64
BU (802.1x),240414114610780,-64
eduroam,240414114610784,-64
BU Wireless Help,240414114610782,-64
BU Guest (unencrypted),240414114610781,-64



Group9,03341138252243,-50
Group1,7224817936165213,-67
mcl_test,32170758512731,-82
Group 3,192863976243171,-85
wireless,01447695042,-78
BU Guest (unencrypted),18023317622911209,-62
BU (requires VPN),18023317622911211,-63
BU (802.1x),18023317622911208,-64
eduroam,18023317622911212,-62
BU Wireless Help,18023317622911210,-63
BU Wireless Help,240414114610782,-65
BU Guest (unencrypted),240414114610781,-65
BU (requires VPN),240414114610783,-66
BU (802.1x),240414114610780,-64
eduroam,240414114610784,-65

Group9,03341138252243,-50
Group1,7224817936165213,-67
mcl_test,32170758512731,-82
Group 3,192863976243171,-85
wireless,01447695042,-78
BU Guest (unencrypted),18023317622911209,-62
BU (requires VPN),18023317622911211,-63
BU (802.1x),18023317622911208,-64
eduroam,18023317622911212,-62
BU Wireless Help,18023317622911210,-63
BU Wireless Help,240414114610782,-65
BU Guest (unencrypted),240414114610781,-65
BU (requires VPN),240414114610783,-66
BU (802.1x),240414114610780,-64
eduroam,240414114610784,-65


Group9,03341138252243,-56
mcl_test,32170758512731,-82
wireless,01447695042,-75
Group1,7224817936165213,-62
NGA,6814825213871230,-88
Group 3,192863976243171,-83
BU Guest (unencrypted),240414114610781,-64
BU (requires VPN),240414114610783,-65
laboratory,128421682616910,-84
BU (802.1x),240414114610780,-65
eduroam,240414114610784,-64
BU Wireless Help,240414114610782,-65

Group9,03341138252243,-56
mcl_test,32170758512731,-82
wireless,01447695042,-75
Group1,7224817936165213,-62
NGA,6814825213871230,-88
Group 3,192863976243171,-83
BU Guest (unencrypted),240414114610781,-64
BU (requires VPN),240414114610783,-65
laboratory,128421682616910,-84
BU (802.1x),240414114610780,-65
eduroam,240414114610784,-64
BU Wireless Help,240414114610782,-65



Group9,03341138252243,-53
wireless,01447695042,-76
mcl_test,32170758512731,-83
Group1,7224817936165213,-63
Group 3,192863976243171,-83
BU (802.1x),18023317622911208,-63
eduroam,18023317622911212,-62
BU Wireless Help,18023317622911210,-63
BU Guest (unencrypted),18023317622911209,-63
BU (requires VPN),18023317622911211,-63
BU (requires VPN),240414114610783,-66
BU (802.1x),240414114610780,-65
eduroam,240414114610784,-65
BU Wireless Help,240414114610782,-65



Group9,03341138252243,-54
wireless,01447695042,-77
mcl_test,32170758512731,-83
Group1,7224817936165213,-68
eduroam,18023317622911212,-63
Group 3,192863976243171,-83
BU Wireless Help,18023317622911210,-63
BU Guest (unencrypted),18023317622911209,-64
BU (802.1x),18023317622911208,-63
eduroam,240414114610784,-65


Group9,03341138252243,-56
Group1,7224817936165213,-69
wireless,01447695042,-77
mcl_test,32170758512731,-76
Group 3,192863976243171,-84
BU (802.1x),18023317622911208,-64
eduroam,18023317622911212,-63
BU Wireless Help,18023317622911210,-65
BU Guest (unencrypted),18023317622911209,-63
BU (requires VPN),18023317622911211,-64
BU (requires VPN),240414114610783,-66
BU (802.1x),240414114610780,-66
eduroam,240414114610784,-66
BU Wireless Help,240414114610782,-66
BU Guest (unencrypted),240414114610781,-66



Group9,03341138252243,-54
wireless,01447695042,-77
Group1,7224817936165213,-69
mcl_test,32170758512731,-77
Group 3,192863976243171,-83
BU (802.1x),18023317622911208,-63
eduroam,18023317622911212,-63
BU (802.1x),240414114610780,-66
laboratory,128421682616910,-85
eduroam,240414114610784,-66
BU Wireless Help,240414114610782,-66
BU Guest (unencrypted),240414114610781,-66
BU (requires VPN),240414114610783,-66

